name,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews
❤️ Super luxury Apt Great View  5 Star Reviews,37.74889,-122.44479,Apartment,Entire home/apt,4,$116.00,27
Prime Location - Large Private Room,37.79216,-122.42458,Apartment,Private room,1,$55.00,123
Downtown Rainbow,37.78816,-122.41722,Apartment,Entire home/apt,4,$187.00,88
Beautiful Alamo Park flat w deck,37.77459,-122.43923,Apartment,Entire home/apt,5,$200.00,152
Bernal Heights Apartment Patio + Parking,37.7472,-122.41443,Apartment,Entire home/apt,2,$175.00,215
Bartlett Gardens: Spacious bright!,37.75762,-122.41933,Apartment,Private room,1,$99.00,122
Private and Quiet Noe Valley Studio,37.74565,-122.42864,Guest suite,Entire home/apt,2,$135.00,336
Ultra Panoramic View Contemporary,37.8031,-122.41596,Condominium,Private room,4,$109.00,243
Garden Cottage Charming!,37.74209,-122.41409,Cottage,Private room,2,$150.00,192
Lovely quiet private room in Home,37.75674,-122.49178,House,Private room,2,$100.00,1
Charming Victorian 3-Bedrms-2Baths + Free Parking!,37.76966,-122.43496,House,Entire home/apt,6,$475.00,201
Lovely Room in Charming Edwardian,37.74183,-122.42993,Apartment,Private room,2,$85.00,36
GORGEOUS SAN FRANCISCO HOME,37.76245,-122.42432,House,Entire home/apt,6,$950.00,55
Lovely open plan en-suite bed/bath,37.74926,-122.41398,Guest suite,Entire home/apt,2,$166.00,365
Great room in a fantastic location!,37.80317,-122.42874,Apartment,Private room,2,$90.00,67
Large garden studio  apt. near Golden Gate Park,37.77798,-122.47812,Apartment,Entire home/apt,2,$95.00,97
Spectacular Sutro Heights,37.77719,-122.50906,Apartment,Entire home/apt,6,$216.00,12
lovely 1 BEDROOM: GG Park/UCSF,37.7571,-122.46594,Apartment,Entire home/apt,3,$90.00,44
Beautiful 1bdr apt by Dolores Park in Mission,37.75426,-122.42387,Apartment,Entire home/apt,2,$326.00,36
Private 1BR Inner Richmond Apt,37.77442,-122.46319,House,Entire home/apt,2,$80.00,52
MISSION Outr BedRm3+Fridge+PvtBath,37.73027,-122.42644,House,Private room,2,$46.00,39
MISSION Outr BedRmU3+MinFridge,37.73128,-122.42478,House,Private room,2,$37.00,27
Panorama Pacific View - Pet Friendly,37.77707,-122.50923,Apartment,Entire home/apt,4,$185.00,7
Noe Valley Eco-Escape +Maid Service,37.74527,-122.42424,Apartment,Entire home/apt,3,$108.00,10
Monthly Shared Home for Students 1,37.79364,-122.40635,House,Shared room,1,$30.00,15
Dorm Bed In Friendly Hostel Community #1,37.79447,-122.4045,Hostel,Shared room,1,$45.00,388
Bernal Heights Northslope Studio,37.74578,-122.40841,Guest suite,Private room,2,$109.00,142
ｽﾀｼﾞｵｱﾊﾟｰﾄ,37.77625,-122.46466,Apartment,Entire home/apt,2,$80.00,2
Cozy loft in the center of SF. F1A,37.77518,-122.43334,Apartment,Entire home/apt,8,$90.00,97
Dorm Bed In Friendly Hostel Community #2,37.79309,-122.40443,Hostel,Shared room,2,$45.00,395
Wonderful private 1 bedroom apt. F6,37.77588,-122.43143,Apartment,Entire home/apt,6,$105.00,52
Modern SoMa 1-bdrm views balcony,37.77026,-122.41855,Apartment,Entire home/apt,2,$270.00,30
Views of SF from a nice studio F5,37.77388,-122.43298,Apartment,Entire home/apt,4,$100.00,19
Mission Outr Rustic Pvt Bedroom,37.73137,-122.42532,House,Private room,2,$37.00,35
Mission Outr CozyBedRm4+Minfridge,37.73128,-122.42473,House,Private room,2,$40.00,9
Mission Outr Big Precious Roomy Room,37.73048,-122.42494,House,Private room,2,$45.00,35
Private Studio w/ Kitchenette &Bath,37.73838,-122.43375,House,Entire home/apt,2,$135.00,381
FAB BDRM w/ PrvtBATH PatioFridge,37.73134,-122.42457,House,Private room,3,$57.00,23
Heart of the Mission: Hot spot,37.75615,-122.41927,Apartment,Private room,1,$75.00,91
Hideaway in the Haight,37.77065,-122.44252,Apartment,Entire home/apt,2,$140.00,22
Sweet 1 br Garden Apartment -  Lewhit Cottage,37.78493,-122.44618,Condominium,Entire home/apt,4,$83.00,16
MISSION Outr BedRM#2 + 2Beds+Fridge,37.73152,-122.42547,House,Private room,3,$45.00,20
Charming Lower Pac Hts Private Room,37.78528,-122.44358,House,Private room,1,$90.00,93
Sutro Garden View,37.77483,-122.50952,Apartment,Entire home/apt,2,$85.00,8
Upper Castro Studio,37.75969,-122.44445,Guest suite,Entire home/apt,2,$85.00,251
Garden Room/En-suite Private Entrance,37.7455,-122.42898,Guest suite,Private room,2,$115.00,352
Sunny SF Flat with 5*s,37.76194,-122.44929,Apartment,Entire home/apt,6,$201.00,95
Prime Location Bright Private Room,37.79176,-122.42476,Apartment,Private room,1,$59.00,133
Spacious Edwardian Flat SF Mission,37.76809,-122.42439,Apartment,Entire home/apt,4,$185.00,380
Stylish Living in Liberty Hill,37.75629,-122.42518,Apartment,Entire home/apt,5,$450.00,11
Monthly Shared Home for Students 2,37.79297,-122.40664,House,Shared room,1,$30.00,6
Private Room in San Francisco!,37.75754,-122.49852,House,Private room,1,$85.00,4
Gorgeous French Flat near Union Sq.,37.78535,-122.41515,Apartment,Entire home/apt,2,$130.00,60
San Francisco Serenity/ lovely home,37.73327,-122.46435,Guest suite,Entire home/apt,4,$125.00,359
Charming Cottage with Bay View,37.71549,-122.38922,House,Entire home/apt,4,$120.00,9
Shelli's Student Home (1 Month Min),37.79294,-122.40659,House,Shared room,1,$30.00,15
Room w/ a View in the Castro!,37.76102,-122.43005,Condominium,Private room,1,$125.00,569
Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,37.80591,-122.4083,Condominium,Entire home/apt,4,$125.00,9
Victorian 1BR/1BA in Castro/Duboce,37.77083,-122.43109,Apartment,Entire home/apt,2,$200.00,36
SF Victorian With Skyline Views,37.76813,-122.44494,Apartment,Entire home/apt,5,$150.00,82
Castro Sanctuary,37.75887,-122.43565,Apartment,Entire home/apt,3,$328.00,151
Emergency happy room-sink  UCSF/USF-San Francisco,37.76609,-122.45126,Apartment,Private room,2,$65.00,11
Hip Cozy Creative Victorian,37.75586,-122.42092,Apartment,Entire home/apt,2,$97.00,86
Calm Cool & Collected in Sunny Bernal Heights,37.73974,-122.42299,House,Private room,2,$69.00,125
Marina location rooftop GGB views+ private deck!,37.80356,-122.42589,Condominium,Entire home/apt,4,$300.00,72
Charming Family House near GG Park,37.7806,-122.47597,House,Entire home/apt,6,$550.00,18
San Francisco Luxury Summer Rental,37.7879,-122.46474,House,Entire home/apt,10,$594.00,0
Bernal Heights Gem near SF Mission,37.74708,-122.42456,House,Private room,2,$102.00,233
Charming Private Room in Cozy Apt,37.76463,-122.47435,Apartment,Entire home/apt,2,$150.00,14
Modern Architectural Gem - 4 Bdrm,37.75559,-122.42953,House,Entire home/apt,8,$1200.00,27
North Beach View & Garden 1BD/1BA,37.79835,-122.4042,Apartment,Entire home/apt,3,$150.00,67
Garden Studio,37.75823,-122.43273,House,Private room,2,$150.00,64
Bernal Heights San Francisco Value,37.73874,-122.41624,Apartment,Private room,2,$90.00,151
Stylish Spacious and Quiet Flat!,37.78471,-122.48125,Condominium,Entire home/apt,4,$399.00,186
Prime Location - Small Basic Room,37.79336,-122.42506,Apartment,Private room,1,$56.00,119
Best Views in all of San Francisco,37.74599,-122.44532,Apartment,Entire home/apt,4,$230.00,108
Central Victorian Apartment 2.5 br,37.76787,-122.43172,Apartment,Entire home/apt,6,$275.00,19
Romantic Marina Garden Studio,37.80094,-122.4275,Apartment,Entire home/apt,2,$165.00,109
Ground Floor Studio with Garage Parking,37.75195,-122.44928,Apartment,Entire home/apt,2,$115.00,90
Cute Private 2Br Apt in the Mission,37.76202,-122.41876,Apartment,Entire home/apt,4,$148.00,119
SF Urban Haven & Secret Garden,37.762,-122.39391,Townhouse,Private room,2,$75.00,224
Designer remodeled studio,37.77761,-122.50378,Apartment,Entire home/apt,2,$149.00,236
Quiet area by subway private bath,37.74159,-122.46578,House,Private room,2,$69.00,355
Castro Cottage w/ Secret Garden,37.76194,-122.43239,Guesthouse,Entire home/apt,4,$220.00,159
DOWNEY STREET - Victorian Flat,37.76827,-122.44678,Apartment,Entire home/apt,4,$185.00,155
FINANCIAL DIST: Gino's Cozy Getaway,37.79018,-122.40475,Apartment,Entire home/apt,2,$110.00,24
FIN. DIST: Mario's Studio Penthouse,37.79076,-122.40403,Apartment,Entire home/apt,2,$135.00,50
Mission Outr PvtBDRm2D& minifridge,37.73143,-122.42325,House,Private room,2,$37.00,10
Grant Avenue Apartment,37.79675,-122.40781,Apartment,Entire home/apt,4,$135.00,63
Family-Friendly Flat In San Francisco CA. USA,37.73626,-122.43677,Apartment,Entire home/apt,4,$220.00,234
Bohemian Rhapsody in the Mission,37.75757,-122.41939,Apartment,Private room,1,$75.00,128
Bernal Heights Live Like a Local,37.73856,-122.41687,Apartment,Private room,2,$90.00,170
SF  PRIME MARINA LOCATION RENTAL,37.80318,-122.42977,Apartment,Entire home/apt,2,$150.00,40
Private Entrance Garden Studio,37.77311,-122.44979,Guest suite,Entire home/apt,2,$138.00,469
One room overlooking Precita Park,37.74557,-122.41187,Apartment,Private room,1,$80.00,198
Fully Furnished 1 bedroom apartment,37.8034,-122.40485,Condominium,Entire home/apt,2,$182.00,2
Renovated Historic Home,37.77756,-122.43326,Apartment,Entire home/apt,4,$136.00,213
Monthly Shared Home for Students 3,37.79507,-122.40498,House,Shared room,1,$30.00,9
Monthly Shared Home for Students 4,37.79466,-122.40523,House,Shared room,1,$30.00,6
Monthly Shared Home for Students 5,37.79291,-122.40637,House,Shared room,1,$30.00,3
3 Bdrm City View Home w/Parking deck,37.74446,-122.43776,House,Entire home/apt,8,$295.00,374
Full Floor Flat Priv.Bath Mid-Richmond,37.78265,-122.48971,Apartment,Private room,1,$79.00,28
Virtually Your Own Apt in Nth Beach,37.80242,-122.4144,Guest suite,Entire home/apt,2,$165.00,468
Haight Ashbury Experience Room 2,37.77118,-122.44963,House,Private room,2,$92.00,463
Sunny Condo in the Mission San Francisco,37.75551,-122.40882,Condominium,Entire home/apt,4,$178.00,11
Haight Ashbury Experience Room 1,37.77108,-122.44942,House,Private room,4,$98.00,430
Haight Ashbury Experience Room 4,37.77085,-122.44811,House,Private room,2,$78.00,476
Victorian Flat,37.76146,-122.43817,Apartment,Entire home/apt,6,$325.00,38
Bernal Heights Views Garden Hottub,37.74382,-122.41773,House,Entire home/apt,2,$147.00,49
AUMVersity Subodhi Room,37.72652,-122.43468,House,Private room,2,$75.00,90
Great Ashbury Studio in SF  #3,37.76468,-122.44523,Apartment,Entire home/apt,4,$110.00,44
Haight Ashbury Experience Room 3,37.77042,-122.45019,House,Private room,2,$78.00,423
Penthouse Master Suite Panoramic View with Decks,37.80281,-122.4154,Condominium,Private room,6,$139.00,200
Beautiful luxury house w/ Deck,37.75632,-122.40478,House,Entire home/apt,2,$145.00,101
Art lovers to the Duboce Triangle!,37.7684,-122.43086,Apartment,Private room,2,$99.00,191
Beautiful Cole Valley/Haight Flat.,37.76968,-122.45193,Apartment,Private room,2,$120.00,105
Dorm Bed In Friendly Hostel Community #3,37.79341,-122.4034,Hostel,Shared room,3,$45.00,358
Bernal pied-à-terre,37.73819,-122.41566,Apartment,Entire home/apt,4,$135.00,18
Nob Hill Mini Mansion 4b/4b,37.79114,-122.41029,Townhouse,Entire home/apt,10,$989.00,63
Mid-Century Garden Flat in Charming Upper Castro Victorian,37.75565,-122.44022,Apartment,Entire home/apt,4,$250.00,77
Lovely Private Suite Near UCSF- Monthly Only,37.75855,-122.46444,Guest suite,Entire home/apt,2,$99.00,113
Contemporary Penthouse with Two Beds and City View,37.80301,-122.41581,Condominium,Private room,3,$99.00,216
Spacious SF Getaway Near The Ocean,37.74174,-122.50435,Guest suite,Entire home/apt,4,$135.00,203
Dorm Bed In Friendly Hostel Community #4,37.79271,-122.40383,Hostel,Shared room,4,$45.00,316
One Bedroom SOMA apartment,37.77499,-122.40635,Apartment,Entire home/apt,2,$160.00,62
North Beach Chinatown Apartment,37.79532,-122.40863,Apartment,Entire home/apt,4,$135.00,72
1 Bedroom near Ballet Symphony,37.78304,-122.41942,Condominium,Entire home/apt,2,$136.00,8
Potrero Hill Condo with View of Bay,37.75889,-122.39539,Condominium,Entire home/apt,5,$280.00,23
Spacious Quiet Rm w/Private Ensuite Bath in Castro,37.76188,-122.44215,Condominium,Private room,2,$139.00,592
Private entrance bd/bath by GG Park,37.77579,-122.45504,Guest suite,Private room,1,$100.00,307
Stay in the heart of North Beach!,37.80134,-122.40714,Apartment,Private room,2,$89.00,365
Dorm Bed In Friendly Hostel Community #6,37.7947,-122.40374,Hostel,Shared room,1,$45.00,232
Dorm Bed In Friendly Hostel Community #5,37.79441,-122.40473,Hostel,Shared room,5,$45.00,211
Golden Gate Park 1BR,37.7647,-122.45368,Apartment,Entire home/apt,2,$114.00,13
Studio with Rooftop Deck,37.78322,-122.42025,Condominium,Entire home/apt,2,$138.00,1
Delux Digs by Buena Vista Park,37.76294,-122.43974,Apartment,Private room,2,$115.00,184
Elegant Victorian Flat in Haight,37.76711,-122.45151,Apartment,Entire home/apt,2,$250.00,122
Luxury Condo Downtown/ SoMa,37.77899,-122.40506,Condominium,Entire home/apt,3,$133.00,102
SURF Ocean Beach + Golden Gate Park,37.75553,-122.50707,Apartment,Shared room,1,$35.00,134
"Sunny Potrero Townhouse ""Nest""",37.75612,-122.39967,Condominium,Entire home/apt,4,$325.00,33
Newly remodeled clean/private bath,37.75346,-122.50358,House,Private room,2,$89.00,75
Bright rm/Mission (w/pinball),37.76833,-122.42592,Apartment,Private room,1,$97.00,54
Comfortable and tranquil SF escape,37.72681,-122.43419,Guest suite,Entire home/apt,3,$110.00,354
Perfect family home 3 BR in the Mission backyard,37.7529,-122.41553,Apartment,Entire home/apt,7,$575.00,13
Bungalow Rooms with Great Views,37.73773,-122.44956,House,Private room,4,$250.00,35
Cozy Charming Cottage nestled in a Quiet Garden,37.74334,-122.42932,Guesthouse,Entire home/apt,2,$105.00,209
Castro States Street View Penthouse,37.76288,-122.43815,Condominium,Entire home/apt,4,$210.00,3
Spacious Corona Heights flat with views,37.76275,-122.44252,Condominium,Entire home/apt,8,$475.00,15
Perfect Base ~ Public transit Parking and Views,37.73225,-122.43614,House,Entire home/apt,6,$300.00,66
Stylish Potrero Garden Flat for Two,37.75971,-122.38833,Apartment,Entire home/apt,2,$190.00,185
Mission Outr PvtBDRmD3 + MiniFridge,37.73096,-122.42378,House,Private room,2,$45.00,18
Garden Apartment Oasis with Lush Greenery and a Hot Tub,37.76267,-122.43919,Apartment,Entire home/apt,4,$299.00,161
SF BedRM 4,37.7303,-122.42464,House,Private room,1,$30.00,12
Quiet 1 Bedroom Condo With City Views - Castro/Noe,37.75587,-122.43602,Apartment,Entire home/apt,2,$225.00,5
Lovely garden studio apartment,37.75131,-122.437,House,Entire home/apt,2,$159.00,60
North Beach Best Location and View,37.79954,-122.40679,Apartment,Entire home/apt,4,$125.00,110
Pacific Heights 3 bedroom home,37.79026,-122.4364,House,Entire home/apt,6,$325.00,42
2BR North Beach - Perfect for Business or Leisure,37.80345,-122.40798,Condominium,Entire home/apt,5,$600.00,36
Small but practical studio in SF,37.76641,-122.44667,Apartment,Entire home/apt,2,$90.00,28
Sleep in  HappyBudha Retreat Room,37.72606,-122.43232,House,Private room,1,$48.00,76
Spacious & artsy 2br Dolores Park flat,37.76065,-122.42414,Apartment,Entire home/apt,4,$365.00,120
Lovely beautiful Apt Pac Fillmore,37.78633,-122.43217,Apartment,Entire home/apt,2,$139.00,34
The Clock Tower circa 1907.,37.78278,-122.39337,Loft,Entire home/apt,2,$250.00,6
Victorian Flat amongst the Trees.,37.76892,-122.44615,Apartment,Entire home/apt,6,$189.00,111
Luxury Condo w/ Views & Whole Foods,37.76592,-122.40628,House,Entire home/apt,2,$298.00,67
Castro Cottage: Room & Private Bath,37.76295,-122.44259,Cottage,Private room,1,$99.00,182
"Marina Designer Showplace  ""ELEGANT  BEDROOM""",37.80432,-122.44601,Condominium,Private room,3,$165.00,127
Best area Bright LARGE Beautiful,37.78525,-122.43051,Apartment,Private room,1,$99.00,3
