name,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews
Mission Sanctuary,37.75728,-122.40849,Apartment,Entire home/apt,4,$95.00,98
Room in Historic SF,37.7693,-122.4514,Apartment,Private room,2,$99.00,0
By Public Train/Bus Stops UCSF Golden Gate Park,37.76467,-122.45561,Condominium,Private room,1,$109.00,13
Private Room in Ingleside nearby SFSU,37.72062,-122.46706,House,Private room,1,$50.00,3
3 Broadway .Financial district .Chinatown,37.799,-122.40403,Apartment,Private room,2,$65.00,86
Central USq Timeshare/Hotel Studio,37.78697,-122.40961,Hotel,Private room,4,$180.00,2
Central SF Timeshare/Hotel (Un Sq.),37.78848,-122.4106,Hotel,Private room,4,$180.00,1
Serene Golden Gate Park Home,37.7697,-122.45234,Apartment,Private room,1,$80.00,63
Mission Victorian Home: Work Friends Family,37.74648,-122.41697,House,Private room,8,$250.00,126
Private-BD/Shared-BTH in 2-BD/2-BTH TwnHse,37.73228,-122.41495,Townhouse,Private room,2,$75.00,273
Dolores Terrace Hidden Gem,37.76354,-122.42524,House,Private room,2,$125.00,204
Mission Oasis Home Away From Home: 30 days or more,37.75566,-122.4186,House,Private room,2,$165.00,75
Charming Studio in Nob Hill,37.79291,-122.41544,Apartment,Entire home/apt,2,$200.00,24
Lovely and homely in Cole Valley,37.76691,-122.45125,Apartment,Entire home/apt,2,$110.00,16
Lovely Sunny Studio in Nob Hill,37.7915,-122.41499,Apartment,Entire home/apt,2,$110.00,4
Financial District Oasis 1 BR,37.79047,-122.41059,Apartment,Entire home/apt,2,$120.00,12
AMAZING ROOM IN SUNSET NEWLY REMODE,37.75582,-122.49133,House,Private room,1,$105.00,32
Private Rooms in Modernized 1890s Victorian Home,37.78801,-122.44228,House,Private room,4,$286.00,83
Top Floor Spacious Mission Apartment,37.74478,-122.42141,Apartment,Entire home/apt,8,$275.00,86
Garden Tower near Glen Park Village,37.73227,-122.44218,Apartment,Entire home/apt,4,$150.00,104
SPACIOUS & REMODELED VICTORIAN,37.72771,-122.44015,Apartment,Entire home/apt,5,$400.00,16
"Inn at the Opera ""Concerto Suite""",37.778,-122.42271,Boutique hotel,Private room,2,$144.00,9
Modern Twin Peaks Views,37.75887,-122.45112,Apartment,Entire home/apt,2,$138.00,1
Private Room with separate entrance and full bath,37.78895,-122.43186,Guest suite,Private room,2,$154.00,107
# Misfit Manor Private Lux Studio Apt. W Garden/Hammock BART,37.71742,-122.45177,Guest suite,Entire home/apt,2,$193.00,127
5 Bdrs+Free Parking in Single House!,37.77393,-122.47687,House,Entire home/apt,8,$499.00,103
Bright Noe Valley Home close to Castro & Mission,37.75332,-122.43363,House,Entire home/apt,10,$995.00,13
WORLDMARK San Francisco (Downtown),37.7917,-122.40735,Boutique hotel,Private room,2,$350.00,0
Modern Minimalist Condo with Great City Views,37.75259,-122.44498,Apartment,Entire home/apt,5,$550.00,48
Noe Valley Studio,37.74935,-122.42838,House,Private room,2,$250.00,32
Garden Studio With Private Entrance Near GG Park,37.77422,-122.46773,Guest suite,Entire home/apt,3,$135.00,207
Modern 1bd/1ba near Cal train/SOMA,37.77887,-122.3916,Condominium,Entire home/apt,2,$134.00,3
Alamo Square Painted Lady,37.77862,-122.43221,Apartment,Entire home/apt,8,$550.00,16
Quiet Suite with Separate Entrance and Living Room,37.75716,-122.44557,Guest suite,Private room,4,$100.00,109
Modern Bedroom w Balcony in Castro/Eureka Valley,37.7568,-122.44052,Apartment,Private room,1,$65.00,14
Lovely Modern 2 Bedroom-Location!,37.79428,-122.41336,Apartment,Entire home/apt,4,$175.00,3
San Francisco Sunny Corner Victorian,37.74687,-122.4284,House,Private room,2,$105.00,364
Sunny 2 BR 2 BA on two floors,37.75371,-122.39876,Condominium,Entire home/apt,4,$225.00,1
Modern Gem in Cow Hollow/PacHeights,37.79601,-122.43041,Apartment,Entire home/apt,7,$225.00,10
Top Floor Hip Mission Flat,37.75666,-122.40981,Serviced apartment,Hotel room,4,$189.00,4
Off-Site/Flat Top Fl. Alamo Square,37.77658,-122.43663,Apartment,Entire home/apt,8,$1150.00,9
Richmond Cozy single bedroom #3,37.78259,-122.47388,Apartment,Private room,2,$90.00,1
Gorgeous condo near waterfront,37.80658,-122.41986,Condominium,Entire home/apt,4,$1500.00,38
Renovated Victorian steps from Golden Gate Park,37.7739,-122.46834,House,Entire home/apt,4,$275.00,4
Renovated Mission-Dolores Flat,37.76067,-122.42464,Condominium,Entire home/apt,4,$250.00,23
San Francisco Victorian Master BR w Private Bath,37.74571,-122.43022,House,Private room,2,$105.00,243
Modern Noe Home w/Stunning Views,37.7492,-122.44064,Townhouse,Entire home/apt,8,$650.00,23
1BR - Modern Stunning-View Noe Home,37.75078,-122.4427,Condominium,Private room,2,$138.00,12
Spacious Master Bedroom King Bed & Private Bath,37.73352,-122.48228,House,Private room,4,$64.00,147
Charming Victorian in Lower Haight,37.77337,-122.43529,Apartment,Entire home/apt,7,$750.00,74
Nopa Victorian,37.77839,-122.44337,Apartment,Entire home/apt,3,$180.00,82
In the heart of San Francisco,37.78563,-122.42594,Apartment,Entire home/apt,4,$185.00,15
Private Room @ Social SF Hostel,37.79873,-122.40408,Bed and breakfast,Private room,2,$95.00,75
Private Room @Fun & Social Hostel#3,37.79934,-122.40609,Bed and breakfast,Private room,2,$95.00,64
Studio Apt. near Golden Gate Park,37.76588,-122.46255,Apartment,Entire home/apt,1,$97.00,8
Triple Room @ Fun & Social Hostel#2,37.79914,-122.40444,Bed and breakfast,Private room,3,$99.00,91
Private Victorian in heart of San Francisco,37.79856,-122.40429,Apartment,Entire home/apt,3,$195.00,51
Charming & private studio,37.78886,-122.43241,Apartment,Entire home/apt,2,$499.00,5
Cozy Bernal Heights Studio Apt,37.74236,-122.41679,House,Private room,2,$95.00,103
Private room in top Edwardian Flat,37.76765,-122.42395,Apartment,Private room,1,$120.00,59
(18) Deluxe Room with Private Bath,37.7863,-122.41629,Apartment,Private room,2,$129.00,333
Charming Room in the center of All,37.79905,-122.41835,Apartment,Private room,1,$80.00,90
Garden oasis by Golden Gate Park,37.77903,-122.46585,Guest suite,Entire home/apt,7,$300.00,182
Registered historic mansion near Zuckerberg's home,37.7572,-122.42362,House,Private room,1,$129.00,135
Monthly Room in Big Modern Furnished 2 Bedroom,37.7516,-122.41633,Apartment,Private room,1,$80.00,14
Stylish Spacious Oasis Apartment with Decks and Views,37.76052,-122.40964,Condominium,Entire home/apt,4,$500.00,80
Hip Chinatown pad with epic views!,37.79576,-122.40738,Apartment,Entire home/apt,4,$349.00,126
Quirky and quiet hideaway in Noe / Mission,37.74937,-122.42509,Condominium,Entire home/apt,4,$168.00,29
Modern Outer Sunset One Bedroom (30 days min stay),37.76395,-122.49963,Apartment,Entire home/apt,2,$140.00,36
Beautiful San Francisco Loft,37.78258,-122.48655,Loft,Entire home/apt,2,$139.00,9
Lower Haight/NOPA Wanderlust Fr Parking + Hot Tub,37.77297,-122.4369,Townhouse,Private room,2,$125.00,231
Spacious Sunny Single Family Home,37.74439,-122.4067,House,Entire home/apt,7,$300.00,0
Financial district- walk everywhere,37.79716,-122.3988,Apartment,Entire home/apt,4,$140.00,9
Spacious 3bd/2bath Home - Near all transportation,37.74762,-122.4751,Apartment,Entire home/apt,12,$499.00,202
Basic Double Room R-4 with Shared Bath,37.78781,-122.41637,Apartment,Private room,2,$85.00,69
Gorgeouscentralrooftopspaciousprivate,37.77718,-122.43091,Apartment,Private room,1,$60.00,7
Private Garden Room and Bath in the Heart of SF,37.77542,-122.40853,House,Private room,2,$160.00,167
San Francisco Lovely Place + Parking,37.71987,-122.43018,Apartment,Entire home/apt,5,$110.00,82
Noe Valley Garden Ste Private Entry,37.74383,-122.43205,House,Entire home/apt,2,$135.00,404
Chic Pac Heights Privacy,37.79356,-122.4366,Apartment,Entire home/apt,4,$300.00,17
Quiet house on the hill,37.72091,-122.46372,House,Entire home/apt,5,$145.00,8
Noe Valley – Period Flat,37.75111,-122.43075,Apartment,Entire home/apt,4,$322.00,3
BIG Sunny Bedroom w/ a Great View,37.76108,-122.40851,Apartment,Private room,1,$80.00,12
Art House in Bernal Heights,37.73822,-122.41346,House,Entire home/apt,6,$275.00,0
Pacific Heights Pad,37.79077,-122.43973,Guest suite,Entire home/apt,2,$185.00,83
Urban Artsy Studio in prime Nob Hill,37.78707,-122.41197,Apartment,Entire home/apt,2,$130.00,4
Large room w. pvt balcony & ensuite,37.75297,-122.43558,Apartment,Private room,1,$135.00,1
LARGE PRIVATE BEDROOM + BATH in Noe Valley.,37.75363,-122.42696,Townhouse,Private room,1,$97.00,99
SoMa Garden Apartment,37.77426,-122.40192,Apartment,Entire home/apt,4,$275.00,233
Huge 4BR/4BA Modern Mission Home with Deck & Yard,37.75081,-122.41637,House,Entire home/apt,10,$599.00,67
Sunny Cole Valley Home - Easy access to GG Park,37.76163,-122.45213,House,Entire home/apt,6,$500.00,10
Gather Round the Fire Pit at a Period Russian Hill Flat,37.79921,-122.42248,Condominium,Entire home/apt,5,$217.00,80
Charming Apartment in Potrero Hill,37.7626,-122.395,Apartment,Entire home/apt,4,$150.00,159
Mission Sanctuary | 2BR,37.75584,-122.40877,Apartment,Entire home/apt,4,$165.00,53
Bright & spacious 2BR Mission flat,37.75879,-122.40776,Condominium,Entire home/apt,4,$299.00,7
SKY HOUSE for 2 w/Parking private bathroom,37.72531,-122.40625,House,Private room,2,$70.00,52
Quiet and central Castro district,37.75826,-122.43266,Apartment,Entire home/apt,5,$168.00,2
Cozy n Cute Garden Apartment for You in Presidio Heights,37.78665,-122.45959,Apartment,Entire home/apt,2,$159.00,67
Large Master Bedroom in large modern 2 story home,37.73964,-122.41049,House,Private room,2,$90.00,12
2 BR 2BA condo with great view of city w/ garage,37.77568,-122.41076,Condominium,Entire home/apt,5,$200.00,28
Quiet Luxury in Central San Francisco,37.76123,-122.45095,Apartment,Entire home/apt,2,$150.00,57
3bd Victorian Mission/Noe Garden Free Parking,37.7537,-122.42759,Condominium,Entire home/apt,6,$340.00,31
Huge 3-Bdrm 2-Bath Flat Great Neighborhood,37.75974,-122.43988,Apartment,Entire home/apt,8,$625.00,55
Garden apartment in Glen Park,37.73286,-122.42863,Guest suite,Entire home/apt,2,$140.00,58
Chez Oliver,37.7345,-122.41339,House,Private room,2,$99.00,4
TwinPeaks Castro 3BR2BA Views House,37.75762,-122.44425,House,Entire home/apt,6,$300.00,42
Beautiful Ocean-front home,37.75504,-122.509,House,Entire home/apt,5,$220.00,42
Large Inner Richmond 1 Bedroom,37.7856,-122.46617,Condominium,Entire home/apt,3,$210.00,3
Cozy Private Room Castro/Eureka,37.75569,-122.44122,Condominium,Private room,2,$90.00,16
Gorgeous home with charm and character,37.7341,-122.44876,House,Entire home/apt,6,$299.00,6
Charming 1 BR in Inner Sunset,37.76403,-122.46803,Guest suite,Entire home/apt,4,$145.00,230
The Mission B&B - 5 mins from BART,37.75319,-122.41509,Apartment,Private room,3,$133.00,64
NEW 3-Bedroom SF Apartment,37.76483,-122.45131,Apartment,Entire home/apt,6,$400.00,13
The Steve McQueen - New Kitchen,37.77605,-122.44131,Apartment,Entire home/apt,2,$349.00,44
Huge Sunny 2BR Close to Everything!,37.78509,-122.44298,Apartment,Entire home/apt,5,$350.00,81
Classic Architecture with Modern Design in City Center,37.76719,-122.44824,Apartment,Entire home/apt,4,$215.00,29
1 Queen bedded room w/full bath,37.78877,-122.4083,Boutique hotel,Private room,2,$125.00,55
Nob Hill Studio,37.79094,-122.41725,Apartment,Entire home/apt,2,$107.00,12
Nob Hill California St Studio,37.79248,-122.41649,Apartment,Entire home/apt,2,$107.00,9
Carriage House:  24th BART Gar Deck,37.75009,-122.41452,Guesthouse,Entire home/apt,2,$110.00,2
Castro Penthouse 1bd & Private Bath,37.76223,-122.43,Apartment,Private room,2,$133.00,170
Simple Hayes Valley Suite,37.77477,-122.42512,Apartment,Entire home/apt,2,$150.00,105
2 Twin beds with a full bath,37.78909,-122.40993,Boutique hotel,Private room,2,$125.00,73
CONDO 2 BEDROOM AMAZING VIEWS!!,37.7836,-122.39862,Condominium,Entire home/apt,4,$250.00,17
Studio by Dolores Park & Castro,37.76168,-122.42963,Apartment,Entire home/apt,2,$100.00,19
Charming with Incredible View,37.80516,-122.40867,Apartment,Entire home/apt,2,$295.00,9
WHOLE HOME MARINA CHESTNUT ST (30 NT Min),37.79948,-122.44508,Townhouse,Entire home/apt,3,$195.00,5
4 bedroom Edwardian flat in NOPA!,37.77508,-122.44398,House,Entire home/apt,5,$500.00,48
2 Bedroom Apartment with Private Garden,37.76235,-122.39621,Apartment,Entire home/apt,4,$194.00,8
Charming bedroom in Bernal Heights,37.73615,-122.41245,House,Private room,2,$86.00,244
Inn at the Opera 2 bathroom suite for four,37.77886,-122.42209,Boutique hotel,Private room,4,$195.00,46
#NAME?,37.76604,-122.42986,Apartment,Entire home/apt,4,$110.00,7
Inn @ the Opera,37.77997,-122.42127,Apartment,Entire home/apt,2,$195.00,21
2bd/2ba Noe Valley - Monthly Rental,37.75175,-122.43104,Apartment,Entire home/apt,4,$155.00,1
Spacious Seaside Sojourn,37.74666,-122.50072,Apartment,Entire home/apt,4,$140.00,96
Indulge in a Designer Victorian in Pacific Heights,37.789,-122.43939,House,Entire home/apt,6,$715.00,34
Large classic 2bd/2ba full-floor Richmond flat,37.78551,-122.47475,Apartment,Entire home/apt,4,$359.00,42
Dillonwood Loft - Perfect for Business Travelers,37.7791,-122.40413,Loft,Private room,2,$179.00,62
★ GG Park ★ Walk Score 91 ★ Fast WiFi ★,37.77587,-122.46651,House,Private room,2,$126.00,172
The Professor's Library--Large room w/ prvt bath,37.73954,-122.45289,House,Private room,3,$69.00,11
Ste 1502-1 Queen Bedrm & Living Rm,37.78889,-122.409,Boutique hotel,Private room,2,$279.00,1
Ste 1408-1 Queen Bedrm & Living Rm,37.78938,-122.40815,Boutique hotel,Private room,2,$279.00,3
Mission Concourse 4BR Apartment,37.75798,-122.41082,Apartment,Entire home/apt,5,$253.00,5
2BR: Modern Wired Nice Ocean View Clean (00),37.75404,-122.47362,Apartment,Entire home/apt,4,$106.00,4
Private In-Law in Sunset near Ocean & Zoo +Parking,37.73751,-122.50636,Guest suite,Entire home/apt,4,$135.00,306
K's Place,37.72398,-122.45637,House,Private room,2,$98.00,114
Large Modern Loft in Noe Valley,37.75305,-122.43668,Loft,Entire home/apt,2,$165.00,182
Luxurious SF condo,37.80626,-122.42239,Condominium,Entire home/apt,8,$1500.00,11
Sunny very clean studio for 2,37.76013,-122.49562,Loft,Private room,2,$120.00,229
Huge Beautiful Victorian in NOPA.,37.77246,-122.44413,House,Entire home/apt,8,$888.00,6
Modern style classic SF house,37.73085,-122.39665,House,Entire home/apt,4,$167.00,46
The Perfect Stay by the Beach in SF,37.75103,-122.50651,House,Private room,2,$99.00,164
Warm Family home in the center of San Francisco,37.77672,-122.44964,House,Entire home/apt,6,$899.00,16
Modern Spacious MissionTerrace Apt.,37.72583,-122.43042,Guest suite,Entire home/apt,4,$100.00,259
Perfect Victorian 2 BR - 30 day min,37.76984,-122.4461,Apartment,Entire home/apt,4,$127.00,4
Stunning Sunlit Castro/Dolores 2BR,37.765,-122.42912,Apartment,Entire home/apt,3,$180.00,9
Studio at Donatello Hotel near Union Square,37.78842,-122.41016,Hotel,Private room,4,$235.00,135
*Dreamy Skylight-Filled Two Bedroom in The Mission,37.75725,-122.40931,Apartment,Entire home/apt,4,$120.00,52
Spacious Home/Garden near GG Park,37.74398,-122.47127,House,Entire home/apt,6,$650.00,9
Modern Condo Spectacular Kitchen,37.75558,-122.42686,Condominium,Entire home/apt,12,$480.00,39
Warm Victorian Room by Alamo Square,37.7792,-122.43533,House,Private room,2,$98.00,160
Guest Suite in Hayes Valley Victorian Apartment,37.77362,-122.42591,Apartment,Private room,2,$99.00,142
1br. Garden Retreat (Russian hill),37.80546,-122.41848,Apartment,Entire home/apt,4,$140.00,6
Haight Ashbury Painted Lady Studio,37.77025,-122.44738,Guest suite,Entire home/apt,2,$195.00,308
Clean and Cozy 1BR Noe Valley Home,37.75124,-122.43891,House,Entire home/apt,2,$110.00,9
The French Victorian - Garden View Room *Bay Views,37.74754,-122.40578,House,Private room,2,$99.00,16
Sunny Studio in Mission Dolores,37.76818,-122.42416,Apartment,Entire home/apt,2,$180.00,5
Private Room & Bath with Bay View!,37.75802,-122.39756,Apartment,Private room,2,$125.00,111
Hilltop Home w/ Panoramic Views,37.74941,-122.46641,House,Entire home/apt,6,$250.00,4
Cozy Garden Studio - Private Entry,37.78113,-122.5011,House,Private room,2,$130.00,344
SF Hotel Studio: Union Square (8),37.78812,-122.41063,Condominium,Entire home/apt,4,$259.00,9
Studio Apartment For Two With Ensuite Bathroom,37.7441,-122.47482,Guest suite,Private room,2,$120.00,72
Penthouse Mission Apartment,37.75628,-122.42349,Apartment,Private room,1,$150.00,87
Mission Gem - 2.5 miles fr Moscone Ctr/Downtown SF,37.75993,-122.40821,Apartment,Entire home/apt,5,$209.00,15
Luxury Bayside Penthouse,37.78705,-122.39334,Condominium,Private room,2,$179.00,72
Midterm Rental 30-60 days Outer Richmond Apartment,37.77325,-122.50589,Apartment,Entire home/apt,4,$165.00,36
Newly Renovated Spacious Studio,37.75218,-122.44197,Apartment,Entire home/apt,2,$117.00,270
Beach Life in the Outer Sunset.,37.74905,-122.50223,Guest suite,Entire home/apt,2,$165.00,141
Sunny 2Rm Suite Unbeatable Location,37.76095,-122.42098,Apartment,Private room,2,$130.00,74
Monthly Modern-Spacious-Remodeled Open Plan Home,37.75007,-122.43925,Apartment,Entire home/apt,5,$899.00,16
Timeshare - Club Donatello Union-Sq,37.78946,-122.40959,Apartment,Entire home/apt,4,$235.00,10
Private room in modern single family home,37.74182,-122.40896,House,Private room,1,$99.00,4
Full flat with bay & downtown views,37.75817,-122.39978,House,Entire home/apt,4,$195.00,45
LARGE Room in SF NEW Apartment,37.76631,-122.4516,Apartment,Private room,2,$130.00,109
Spacious & conveniently located 2br/1ba w/free pkg,37.80268,-122.42887,Condominium,Entire home/apt,3,$300.00,7
Donatello Hotel_,37.78882,-122.41094,Apartment,Entire home/apt,4,$265.00,19
2+ BR  Home in Noe Valley - for 5,37.75282,-122.438,House,Entire home/apt,5,$125.00,28
Beautiful Apt Centrally Located in Lower Nob Hill,37.78829,-122.42194,Apartment,Private room,2,$159.00,40
Sunny Pacific Heights Apartment,37.79215,-122.43476,Apartment,Entire home/apt,2,$250.00,39
Art filled nook in SOMA,37.77756,-122.41165,House,Private room,1,$120.00,158
Walkers' Paradise in Noe Valley UPR,37.75065,-122.42873,Apartment,Private room,2,$95.00,13
My Beautiful City By The Bay.....San Francisco Ca.,37.79565,-122.41871,House,Private room,2,$149.00,139
2 BR/2BA Flat in the Heart of NOPA,37.77896,-122.44232,Apartment,Entire home/apt,4,$250.00,12
Explore Castro Bars and Nightlife from a Renovated Apartment,37.76016,-122.43267,Serviced apartment,Entire home/apt,3,$175.00,3
Sunny Sweet Home in Bernal Heights!,37.7417,-122.41181,House,Entire home/apt,6,$270.00,62
Quiet private top floor suite hot tub views,37.71859,-122.40426,Guest suite,Entire home/apt,6,$990.00,22
High Ceiling Victorian off 24th - 5 min to BART,37.75319,-122.41606,Apartment,Entire home/apt,5,$153.00,16
Unique historical house with city and bay views,37.762,-122.39278,House,Entire home/apt,6,$500.00,75
Elegant Condominium with Rooftop Pool,37.78647,-122.42258,Condominium,Entire home/apt,2,$150.00,9
Roomy studio apt. for 4 near park/pool/transit!,37.72729,-122.44225,Guest suite,Entire home/apt,4,$170.00,55
Elegant Victorian Bedroom in Mission,37.74287,-122.42206,Condominium,Private room,2,$75.00,130
Private Entrance Garden Room w/Kitchenette,37.77761,-122.46018,House,Private room,2,$90.00,62
2 brand new downstairs bedrooms,37.76261,-122.49146,House,Entire home/apt,4,$300.00,68
Tourists' delight -- business travelers' retreat!,37.79926,-122.42054,Condominium,Entire home/apt,7,$587.00,41
Bernal Heights In-law apartment,37.73994,-122.41502,Guest suite,Entire home/apt,3,$110.00,7
Cozy Hotel Like Studio in Downtown San Francisco,37.79137,-122.40606,Apartment,Entire home/apt,2,$80.00,7
Artsy Mission Dwelling. close to General Hospital 10 minutes to BART,37.75353,-122.41015,Apartment,Entire home/apt,4,$175.00,84
Private & Quiet 1 BR Apt. with spectacular views,37.79782,-122.41521,Apartment,Entire home/apt,3,$198.00,77
San Francisco Mission Terrace Home,37.72778,-122.44241,House,Private room,2,$100.00,24
Large Charming Studio with View,37.76003,-122.44952,Apartment,Entire home/apt,2,$95.00,2
Potrero Mission Garden Retreat Home,37.76311,-122.40597,House,Entire home/apt,4,$525.00,24
Beautiful Victorian Home Near Alamo Square,37.7806,-122.435,House,Entire home/apt,6,$500.00,5
Homestay 1 month min.,37.79313,-122.40482,House,Shared room,1,$30.00,5
Spacious apartment in Mission Dolores,37.76236,-122.42385,Apartment,Entire home/apt,8,$900.00,56
HEART of San Francisco!,37.77431,-122.42169,Apartment,Private room,2,$115.00,225
Sande's Place: Private in-law unit,37.77361,-122.50037,Guest suite,Entire home/apt,2,$70.00,153
Victoriana- A classic updated  Victorian flat,37.77384,-122.42919,Condominium,Entire home/apt,4,$265.00,7
Spacious bedroom close to Glen Park Bart,37.73555,-122.42724,House,Private room,2,$79.00,90
Alamo Square 30 Days Rental,37.77751,-122.4365,Apartment,Entire home/apt,2,$155.00,5
SKY HOUSE for 6 3 BR w/parking,37.72629,-122.40463,House,Entire home/apt,6,$320.00,57
Russian Hill condo panoramic views,37.79687,-122.41381,Apartment,Entire home/apt,2,$300.00,76
Jackson Court 2,37.79404,-122.43177,Serviced apartment,Entire home/apt,2,$245.00,1
Nob Hill WorldMark Timeshare Rental Condo-Sleeps 4,37.79136,-122.4061,Boutique hotel,Private room,4,$300.00,5
NON-SMOKING  NON-SMOKING    V-Large  2BR Apartment,37.78398,-122.46221,Apartment,Entire home/apt,4,$131.00,8
NON-SMOKING  NON-SMOKING        SUNNY    1- BR Apt,37.78506,-122.46393,Apartment,Entire home/apt,2,$129.00,6
Sunny&Convenient SFH w/ Parking&Yard A+ Location,37.77794,-122.47993,House,Entire home/apt,8,$198.00,140
2 Big Rms & Private Bath in Best Loc!,37.77225,-122.43386,Condominium,Private room,2,$119.00,123
Large garden level en-suite bedroom/bath,37.7555,-122.43886,House,Private room,2,$155.00,25
2-Bd 2-Ba Fairmont-Managed Condo @ Ghirardelli Sq,37.80465,-122.42262,Condominium,Entire home/apt,6,$1149.00,8
Hayes Valley Victorian Home,37.77219,-122.42565,Townhouse,Entire home/apt,7,$300.00,31
Sunny beautiful & spacious San Francisco home.,37.78291,-122.45949,House,Entire home/apt,12,$900.00,27
Chic Full-Floor Edwardian Near Dolores Park,37.76051,-122.42349,Apartment,Entire home/apt,4,$850.00,37
Charming Family Friendly NOPA Flat,37.77281,-122.45204,Condominium,Entire home/apt,6,$450.00,12
Courtyard Room in Beautiful Victorian,37.77231,-122.42411,Townhouse,Private room,4,$105.00,221
Modern Victorian Apt + Air Condition & Roof Garden,37.77003,-122.42355,Apartment,Entire home/apt,5,$270.00,6
Modern 2B zen getaway in Bernal,37.7399,-122.41746,Apartment,Entire home/apt,4,$185.00,170
Superb Space,37.7765,-122.40398,Apartment,Entire home/apt,6,$269.00,42
Room w Balcony in Shared House by Beach,37.75548,-122.49992,House,Private room,2,$70.00,150
Pacific Heights Elegance W Views 2bd/2ba Parking,37.79543,-122.43711,Apartment,Entire home/apt,4,$240.00,4
Spacious Victorian flat in the Haight,37.77046,-122.45271,Condominium,Entire home/apt,4,$200.00,5
Furnished Victorian 1BR in NoeValley/Mission,37.74704,-122.42582,Apartment,Entire home/apt,2,$165.00,4
Stylist Airy easy Vic Condo in  Sunny Mission,37.75019,-122.41517,Apartment,Entire home/apt,2,$180.00,0
Castro Condo with Stunning View,37.75875,-122.43514,Apartment,Entire home/apt,3,$199.00,108
Startup Basecamporg HACKER HOUSE!,37.78252,-122.4215,Hostel,Shared room,8,$99.00,28
Luxury Queen Bed in a Warm Home,37.7174,-122.46943,House,Private room,2,$95.00,70
Large Bright Private Room in Noe Valley home,37.75378,-122.43845,House,Private room,2,$125.00,96
Cozy 1bdrm/1ba mission district apartment!,37.76082,-122.41393,Apartment,Entire home/apt,1,$110.00,64
Jr 1 Bedroom Cow Hollow Marina,37.79822,-122.44095,Condominium,Entire home/apt,2,$195.00,46
Garden suite near Golden Gate Bridge and Park,37.78267,-122.46974,Guest suite,Entire home/apt,5,$149.00,148
Home at the top of The City --2bd/1bth,37.75196,-122.44851,House,Entire home/apt,4,$300.00,11
Large room w/ 2 beds & bath next to USF GG Park,37.77363,-122.44657,Condominium,Private room,3,$109.00,190
Large Mod Bedroom in Classic SF Edwardian Home,37.77771,-122.47169,House,Private room,2,$115.00,69
Private Suite with Sunny Bedroom,37.72001,-122.39249,House,Entire home/apt,2,$85.00,128
Explore City and Nature From a Cozy Guest Suite,37.73885,-122.43594,Guest suite,Entire home/apt,4,$160.00,222
Spacious Shared SF Classic n Marina,37.7998,-122.42506,Apartment,Private room,1,$54.00,3
Nob Hill WorldMark Timeshare Studio Condo,37.79154,-122.40648,Boutique hotel,Private room,2,$250.00,6
Nob Hill Timeshare Studio Condo,37.79152,-122.40674,Boutique hotel,Private room,2,$300.00,5
San Francisco Neighborhood Gem with Private Garden,37.72946,-122.46545,Guest suite,Entire home/apt,3,$295.00,5
Sunset Suite near Golden Gate Park & Beach,37.74114,-122.49292,House,Private room,2,$89.00,99
Mediterranean/Spanish Retreat,37.71869,-122.44658,House,Entire home/apt,5,$160.00,16
cozy private bedroom and bathroom,37.71348,-122.48359,Townhouse,Private room,2,$100.00,14
Large house with space to share!,37.75581,-122.43306,House,Private room,2,$150.00,51
Sept 27-30. North Beach 2 Bedrooms 2 Queen beds,37.80319,-122.40742,Apartment,Entire home/apt,4,$100.00,0
Charming Cole Valley Victorian,37.76295,-122.45447,House,Entire home/apt,2,$120.00,125
Bright Bdrm w/ Private Bath,37.74715,-122.40745,House,Private room,2,$95.00,56
Modern Luxury with Golden Gate Views (30 day min),37.79995,-122.42271,Apartment,Entire home/apt,6,$399.00,37
ROOM Marina LOCATION LOCATION,37.80535,-122.42158,Condominium,Private room,1,$70.00,92
Luxury South Beach / SoMa Condo w/ Gym & Concierge,37.78034,-122.39754,Condominium,Entire home/apt,2,$176.00,11
Newly remodeled Studio! With deck !,37.73063,-122.4473,Apartment,Entire home/apt,2,$120.00,0
Stylish 2BR Sunset House W/Parking,37.74833,-122.48231,House,Entire home/apt,6,$150.00,98
Large Private Room in SF plenty of street parking,37.73428,-122.44951,Guest suite,Entire home/apt,2,$120.00,147
Best View in San Francisco,37.71742,-122.46542,Apartment,Entire home/apt,4,$135.00,13
Nob Hill Studio Condo,37.79146,-122.40638,Boutique hotel,Private room,2,$250.00,6
Mission District San Francisco,37.75161,-122.42143,Apartment,Entire home/apt,2,$165.00,0
Mod Potrero Hill Private Studio,37.75503,-122.40184,Guest suite,Entire home/apt,3,$155.00,72
Private Furnished Spacious Room,37.72458,-122.43151,House,Private room,2,$45.00,80
Elegant Victorian Cottage,37.73427,-122.43625,House,Entire home/apt,2,$300.00,4
Charming & Private Bernal Heights Guest Suite,37.73658,-122.42035,Guest suite,Entire home/apt,2,$100.00,60
View Home Dolores Heights near Castro & Mission,37.75735,-122.4311,House,Entire home/apt,5,$434.00,159
Sunny Spacious Edwardian Flat,37.75472,-122.41034,Apartment,Entire home/apt,4,$350.00,41
In-law unit in Quiet Noe Valley,37.74418,-122.43233,Guest suite,Entire home/apt,3,$146.00,271
Quiet Relaxing House Close to BART Station,37.71968,-122.44973,House,Entire home/apt,6,$220.00,66
Beautiful home in Presidio Heights!,37.7883,-122.45788,House,Entire home/apt,11,$1040.00,2
